[GIN] 2026/03/25 - 01:19:19 | 204 |       31.85µs |             ::1 | OPTIONS  "/api/coordinator/students"
[GIN] 2026/03/25 - 01:19:19 | 200 |    2.406043ms |             ::1 | GET      "/api/coordinator/users/pending"
[GIN] 2026/03/25 - 01:19:19 | 200 |    2.723513ms |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:19 | 200 |     799.941µs |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:19 | 200 |    2.252374ms |             ::1 | GET      "/api/coordinator/users/pending"

2026/03/25 01:19:19 [31;1m/home/jesua/Documents/My Personal Project/ojt-system/backend/controllers/coordinator_controller.go:91 [35;1mrecord not found
[0m[33m[0.957ms] [34;1m[rows:0][0m SELECT * FROM "evaluations" WHERE student_id = 7 AND "evaluations"."deleted_at" IS NULL ORDER BY created_at desc,"evaluations"."id" LIMIT 1
[GIN] 2026/03/25 - 01:19:19 | 200 |   24.084954ms |             ::1 | GET      "/api/coordinator/students"

2026/03/25 01:19:19 [31;1m/home/jesua/Documents/My Personal Project/ojt-system/backend/controllers/coordinator_controller.go:91 [35;1mrecord not found
[0m[33m[0.280ms] [34;1m[rows:0][0m SELECT * FROM "evaluations" WHERE student_id = 7 AND "evaluations"."deleted_at" IS NULL ORDER BY created_at desc,"evaluations"."id" LIMIT 1
[GIN] 2026/03/25 - 01:19:19 | 200 |    4.678225ms |             ::1 | GET      "/api/coordinator/students"
[GIN] 2026/03/25 - 01:19:22 | 204 |       6.663µs |             ::1 | OPTIONS  "/api/coordinator/users/pending?status=pending"
[GIN] 2026/03/25 - 01:19:22 | 200 |       783.8µs |             ::1 | GET      "/api/coordinator/users/pending?status=pending"
[GIN] 2026/03/25 - 01:19:22 | 200 |     668.292µs |             ::1 | GET      "/api/coordinator/users/pending?status=pending"
[GIN] 2026/03/25 - 01:19:24 | 200 |      762.55µs |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:26 | 204 |      16.191µs |             ::1 | OPTIONS  "/api/coordinator/users/2/approve"
[GIN] 2026/03/25 - 01:19:26 | 200 |    7.000149ms |             ::1 | PATCH    "/api/coordinator/users/2/approve"
[GIN] 2026/03/25 - 01:19:26 | 200 |     643.365µs |             ::1 | GET      "/api/coordinator/users/pending?status=pending"
[GIN] 2026/03/25 - 01:19:31 | 204 |      25.868µs |             ::1 | OPTIONS  "/api/notifications/"
[GIN] 2026/03/25 - 01:19:31 | 200 |     2.44131ms |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:31 | 200 |    1.339229ms |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:49 | 204 |       8.125µs |             ::1 | OPTIONS  "/api/notifications/"
[GIN] 2026/03/25 - 01:19:49 | 200 |     665.717µs |             ::1 | GET      "/api/notifications/"
[GIN] 2026/03/25 - 01:19:54 | 200 |     586.538µs |             ::1 | GET      "/api/notifications/"
